"Variable","Type","Missing %","Observed Range","Stats"
"country_name","character","0%","183 unique values","Categorical"
"country_text_id","character","0%","183 unique values","Categorical"
"year","integer","0%","1946 to 2024","Mean: 1986.32 | SD: 22.85"
"COWcode","integer","2.19%","2 to 950","Mean: 469.4 | SD: 242.06"
"v2x_libdem","numeric","0.88%","0 to 0.9","Mean: 0.3 | SD: 0.27"
"v2x_partipdem","numeric","0.44%","0.01 to 0.81","Mean: 0.24 | SD: 0.21"
"v2x_egaldem","numeric","0.01%","0.01 to 0.89","Mean: 0.3 | SD: 0.24"
"v2xdl_delib","numeric","0%","0 to 0.99","Mean: 0.49 | SD: 0.31"
"v2regsupgroupssize","numeric","2.86%","-3.43 to 3.02","Mean: 0.64 | SD: 1.3"
"v2regoppgroupssize","numeric","2.97%","-3.87 to 3.53","Mean: -0.19 | SD: 1.49"
"v2regproreg","integer","2.97%","0 to 13","Mean: 4.76 | SD: 3.89"
"v2regantireg","integer","3.07%","0 to 13","Mean: 7.6 | SD: 3.36"
"v2cltrnslw","numeric","0%","-3.94 to 4.04","Mean: 0.31 | SD: 1.48"
"v2clrspct","numeric","0%","-3.6 to 3.98","Mean: 0.23 | SD: 1.51"
"v2clacjstm","numeric","0%","-4.35 to 3.81","Mean: 0.36 | SD: 1.51"
"v2clacjstw","numeric","0%","-3.88 to 3.95","Mean: 0.4 | SD: 1.45"
"v2clprptym","numeric","0%","-4.31 to 2.7","Mean: 0.66 | SD: 1.4"
"v2clprptyw","numeric","0%","-3.86 to 3.23","Mean: 0.69 | SD: 1.43"
"v2exl_legitideol","numeric","2.91%","-3.29 to 3.74","Mean: -0.03 | SD: 1.44"
"v2exl_legitlead","numeric","2.8%","-3.42 to 3.58","Mean: 0.13 | SD: 1.52"
"v2exl_legitperf","numeric","2.9%","-4.27 to 3.19","Mean: 0.28 | SD: 1.2"
"v2exl_legitratio","numeric","2.9%","-4.2 to 3.18","Mean: 0.28 | SD: 1.16"
"v2x_neopat","numeric","0.71%","0 to 0.99","Mean: 0.52 | SD: 0.3"
"v2x_corr","numeric","0.87%","0 to 0.97","Mean: 0.46 | SD: 0.29"
"v2x_rule","numeric","0.23%","0 to 1","Mean: 0.52 | SD: 0.3"
